Month,Grade,Region,Regional_Price,National_Price,Seasonal_Impact,Indonesia_Price_in_USD,Madagascar_Price_in_USD,Tanzania_Price_in_USD,Local_Production_Volume,Local_Export_Volume,Global_Production_Volume,Temperature,Rainfall,Exchange_Rate,Inflation_Rate,Fuel_Price
2/1/2020,Clove,Monaragala,935.25,946.73,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Stem,Kandy,96.00,82.72,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Stem,Matale,82.75,82.72,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Stem,Nuwaraeliya,96.00,82.72,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Stem,Kegalle,92.00,82.72,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Stem,Kurunegala,63.50,82.72,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Stem,Gampaha,66.75,82.72,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
2/1/2020,Stem,Matara,82.00,82.72,1,3.85,4.45,4.85,0,467,12088,26.19,23.63,181.5628,6.2,104
3/1/2020,Clove,Kandy,882.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Matale,915.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Nuwaraeliya,900.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Kegalle,824.50,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Ratnapura,862.50,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Badulla,881.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Kurunegala,858.50,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Colombo,950.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Gampaha,940.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Kalutara,967.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Galle,887.50,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Matara,925.50,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Hambantota,900.00,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Clove,Monaragala,887.50,898.65,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Stem,Kandy,97.50,82.27,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Stem,Matale,65.00,82.27,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Stem,Nuwaraeliya,95.00,82.27,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Stem,Kegalle,102.50,82.27,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Stem,Kurunegala,67.00,82.27,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Stem,Gampaha,68.50,82.27,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
3/1/2020,Stem,Matara,87.00,82.27,0,3.8,4.4,4.8,0,727,12289,27.61,21.74,185.0567,5.4,104
4/1/2020,Clove,Kandy,805.50,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Matale,722.50,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Nuwaraeliya,700.00,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Kegalle,712.50,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Ratnapura,862.50,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Badulla,818.50,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Kurunegala,875.00,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Colombo,829.24,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Gampaha,829.24,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Kalutara,829.24,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Galle,862.50,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Matara,855.00,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Hambantota,862.50,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Clove,Monaragala,875.00,829.24,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Stem,Kandy,99.00,86.95,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Stem,Matale,80.50,86.95,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Stem,Nuwaraeliya,88.00,86.95,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Stem,Kegalle,101.00,86.95,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Stem,Kurunegala,67.00,86.95,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Stem,Gampaha,86.95,86.95,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
4/1/2020,Stem,Matara,85.50,86.95,0,3.7,4.3,4.75,0,571,6192,28.87,108.92,193.0854,5.2,104
5/1/2020,Clove,Kandy,789.00,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Matale,784.75,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Nuwaraeliya,784.25,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Kegalle,766.50,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Ratnapura,843.75,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Badulla,846.50,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Kurunegala,854.25,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Colombo,843.36,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Gampaha,843.36,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Kalutara,961.67,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Galle,952.50,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Matara,847.00,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Hambantota,874.50,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Clove,Monaragala,893.75,843.36,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Stem,Kandy,99.00,85.75,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Stem,Matale,84.00,85.75,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Stem,Nuwaraeliya,90.50,85.75,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Stem,Kegalle,89.50,85.75,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Stem,Kurunegala,67.00,85.75,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Stem,Gampaha,85.75,85.75,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
5/1/2020,Stem,Matara,84.50,85.75,0,3.65,4.25,4.75,0,260,0,28.68,196.94,187.865,4,104
6/1/2020,Clove,Kandy,794.80,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Matale,782.80,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Nuwaraeliya,738.80,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Kegalle,756.20,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Ratnapura,758.40,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Badulla,820.60,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Kurunegala,834.60,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Colombo,982.60,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Gampaha,864.00,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Kalutara,973.80,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Galle,885.00,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Matara,849.60,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Hambantota,813.00,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Clove,Monaragala,850.00,834.59,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Stem,Kandy,95.80,82.52,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Stem,Matale,81.40,82.52,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Stem,Nuwaraeliya,89.00,82.52,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Stem,Kegalle,91.80,82.52,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Stem,Kurunegala,65.40,82.52,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Stem,Gampaha,71.20,82.52,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
6/1/2020,Stem,Matara,83.00,82.52,0,3.6,4.2,4.7,0,130,3522,28.17,91.65,185.9545,3.9,104
7/1/2020,Clove,Kandy,844.25,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Matale,828.75,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Nuwaraeliya,801.75,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Kegalle,774.75,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Ratnapura,800.00,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Badulla,783.25,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Kurunegala,837.50,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Colombo,875.25,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Gampaha,797.50,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Kalutara,1082.75,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Galle,825.00,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Matara,855.25,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Hambantota,875.00,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Clove,Monaragala,856.25,845.52,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Stem,Kandy,99.50,81.22,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Stem,Matale,81.75,81.22,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Stem,Nuwaraeliya,88.00,81.22,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Stem,Kegalle,84.00,81.22,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Stem,Kurunegala,65.00,81.22,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Stem,Gampaha,65.75,81.22,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
7/1/2020,Stem,Matara,85.00,81.22,0,3.65,4.25,4.8,0,52,15224,27.34,117.14,185.8487,4.2,104
8/1/2020,Clove,Kandy,898.60,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Matale,901.60,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Nuwaraeliya,859.40,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Kegalle,853.00,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Ratnapura,862.00,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Badulla,794.60,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Kurunegala,830.20,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Colombo,903.25,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Gampaha,862.00,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Kalutara,994.60,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Galle,850.00,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Matara,875.80,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Hambantota,900.00,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Clove,Monaragala,855.00,874.26,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Stem,Kandy,99.60,82.80,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Stem,Matale,88.20,82.80,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Stem,Nuwaraeliya,92.60,82.80,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Stem,Kegalle,83.00,82.80,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Stem,Kurunegala,64.00,82.80,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Stem,Gampaha,69.20,82.80,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
8/1/2020,Stem,Matara,83.00,82.80,0,3.7,4.3,4.85,0,52,16389,27.67,66.31,184.8939,4.1,104
9/1/2020,Clove,Kandy,892.00,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Matale,894.75,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Nuwaraeliya,883.75,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Kegalle,874.75,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Ratnapura,786.00,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Badulla,822.50,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Kurunegala,853.25,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Colombo,919.00,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Gampaha,910.00,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Kalutara,934.75,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Galle,856.25,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Matara,876.50,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Hambantota,842.50,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Clove,Monaragala,906.25,875.16,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Stem,Kandy,102.00,83.25,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Stem,Matale,94.00,83.25,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Stem,Nuwaraeliya,95.25,83.25,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Stem,Kegalle,81.25,83.25,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Stem,Kurunegala,67.00,83.25,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Stem,Gampaha,63.75,83.25,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
9/1/2020,Stem,Matara,87.00,83.25,0,3.7,4.35,4.9,0,39,24089,27.18,180.47,185.0317,4,104
10/1/2020,Clove,Kandy,838.25,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Matale,843.00,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Nuwaraeliya,800.25,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Kegalle,803.75,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Ratnapura,851.25,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Badulla,825.75,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Kurunegala,845.00,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Colombo,947.00,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Gampaha,820.00,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Kalutara,946.75,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Galle,855.00,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Matara,884.75,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Hambantota,825.25,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Clove,Monaragala,875.00,856.56,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Stem,Kandy,100.75,88.68,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Stem,Matale,98.25,88.68,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Stem,Nuwaraeliya,92.00,88.68,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Stem,Kegalle,84.50,88.68,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Stem,Kurunegala,67.00,88.68,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Stem,Gampaha,55.00,88.68,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
10/1/2020,Stem,Matara,84.50,88.68,0,3.75,4.4,4.95,0,39,36211,27.46,83.98,184.4379,4,104
11/1/2020,Clove,Kandy,839.00,836.01,0,3.8,4.45,5,1426.5,52,30523,26.84,317.73,184.4379,4.1,104
11/1/2020,Clove,Matale,806.00,836.01,0,3.8,4.45,5,1426.5,52,30523,26.84,317.73,184.4379,4.1,104
